index,mechanism,action,drugA,drugB
228,The metabolism,decrease,Abiraterone,Glyburide
229,The serum concentration,increase,Abiraterone,Granisetron
230,The serum concentration,increase,Abiraterone,Guanabenz
231,The metabolism,decrease,Abiraterone,Guanfacine
232,The serum concentration,increase,Abiraterone,Halofantrine
233,The serum concentration,increase,Abiraterone,Haloperidol
234,The serum concentration,increase,Abiraterone,Halothane
235,The serum concentration,increase,Abiraterone,Hesperetin
236,The serum concentration,increase,Abiraterone,Hexobarbital
237,The metabolism,decrease,Abiraterone,Histamine
238,The serum concentration,increase,Abiraterone,Hydrocodone
239,The serum concentration,increase,Abiraterone,Hydromorphone
240,The serum concentration,increase,Abiraterone,Ibrutinib
241,The serum concentration,increase,Abiraterone,Ibuprofen
242,The serum concentration,increase,Abiraterone,Icotinib
243,The serum concentration,increase,Abiraterone,Idarubicin
244,The serum concentration,increase,Abiraterone,Ifosfamide
245,The serum concentration,increase,Abiraterone,Iloperidone
246,The serum concentration,increase,Abiraterone,Imatinib
247,The serum concentration,increase,Abiraterone,Imipramine
248,The serum concentration,increase,Abiraterone,Imiquimod
249,The metabolism,decrease,Abiraterone,Indomethacin
250,The serum concentration,increase,Abiraterone,Ipratropiumbromide
251,The serum concentration,increase,Abiraterone,Irbesartan
252,The serum concentration,increase,Abiraterone,Isavuconazole
253,The metabolism,decrease,Abiraterone,Isradipine
254,The metabolism,decrease,Abiraterone,Itraconazole
255,The serum concentration,increase,Abiraterone,Ivacaftor
256,The serum concentration,increase,Abiraterone,Ketamine
257,The serum concentration,increase,Abiraterone,Ketobemidone
258,The metabolism,decrease,Abiraterone,Ketoconazole
259,The metabolism,decrease,Abiraterone,Ketoprofen
260,The serum concentration,increase,Abiraterone,Labetalol
261,The serum concentration,increase,Abiraterone,Lansoprazole
262,The serum concentration,increase,Abiraterone,Lapatinib
263,The serum concentration,increase,Abiraterone,Leflunomide
264,The metabolism,decrease,Abiraterone,Lesinurad
265,The serum concentration,increase,Abiraterone,Levobupivacaine
266,The serum concentration,increase,Abiraterone,Levodopa
267,The serum concentration,increase,Abiraterone,Levomilnacipran
268,The serum concentration,increase,Abiraterone,Lidocaine
269,The serum concentration,increase,Abiraterone,Lisuride
270,The serum concentration,increase,Abiraterone,Lomefloxacin
271,The serum concentration,increase,Abiraterone,Lomustine
272,The serum concentration,increase,Abiraterone,Loperamide
273,The serum concentration,increase,Abiraterone,Loratadine
274,The serum concentration,increase,Abiraterone,Lorcaserin
275,The metabolism,decrease,Abiraterone,Lornoxicam
276,The serum concentration,increase,Abiraterone,Lorpiprazole
277,The serum concentration,increase,Abiraterone,Losartan
278,The metabolism,decrease,Abiraterone,Lovastatin
279,The serum concentration,decrease,Abiraterone,Lumacaftor
280,The serum concentration,increase,Abiraterone,Lumiracoxib
281,The metabolism,decrease,Abiraterone,Macitentan
282,The serum concentration,increase,Abiraterone,Malathion
283,The serum concentration,increase,Abiraterone,Maprotiline
284,The serum concentration,increase,Abiraterone,Mefenamicacid
285,The serum concentration,increase,Abiraterone,Melatonin
286,The serum concentration,increase,Abiraterone,Meloxicam
287,The serum concentration,increase,Abiraterone,Menadione
288,The metabolism,decrease,Abiraterone,Meprobamate
289,The serum concentration,increase,Abiraterone,Mequitazine
290,The serum concentration,increase,Abiraterone,Mesoridazine
291,The metabolism,decrease,Abiraterone,Mestranol
292,The serum concentration,increase,Abiraterone,Methadone
293,The serum concentration,increase,Abiraterone,Methamphetamine
294,The serum concentration,increase,Abiraterone,Methotrimeprazine
295,The serum concentration,increase,Abiraterone,Methoxyflurane
296,The metabolism,decrease,Abiraterone,Methsuximide
297,The serum concentration,increase,Abiraterone,Methylphenidate
298,The metabolism,decrease,Abiraterone,Methylphenobarbital
299,The serum concentration,increase,Abiraterone,Methyprylon
300,The serum concentration,increase,Abiraterone,Metoclopramide
301,The serum concentration,increase,Abiraterone,Metoprolol
302,The metabolism,decrease,Abiraterone,Metronidazole
303,The serum concentration,increase,Abiraterone,Mexiletine
304,The serum concentration,increase,Abiraterone,Mianserin
305,The serum concentration,increase,Abiraterone,Mifepristone
306,The serum concentration,increase,Abiraterone,Minaprine
307,The serum concentration,increase,Abiraterone,Mirabegron
308,The serum concentration,increase,Abiraterone,Mirtazapine
309,The serum concentration,decrease,Abiraterone,Mitotane
310,The serum concentration,increase,Abiraterone,Moclobemide
311,The metabolism,decrease,Abiraterone,Montelukast
312,The serum concentration,increase,Abiraterone,Morphine
313,The serum concentration,increase,Abiraterone,Mycophenolatemofetil
314,The metabolism,decrease,Abiraterone,Nabiximols
315,The serum concentration,increase,Abiraterone,Nabumetone
316,The serum concentration,increase,Abiraterone,Naloxone
317,The serum concentration,increase,Abiraterone,Naproxen
318,The serum concentration,increase,Abiraterone,Nateglinide
319,The serum concentration,increase,Abiraterone,Nebivolol
320,The serum concentration,increase,Abiraterone,Nefazodone
321,The serum concentration,increase,Abiraterone,Netupitant
322,The serum concentration,increase,Abiraterone,Nicardipine
323,the antihypertensive activities,decrease,Acebutolol,Aceclofenac
324,The therapeutic efficacy,decrease,Acebutolol,Acemetacin
325,the hypoglycemic activities,increase,Acebutolol,Acetohexamide
326,The risk or severity of adverse effects,increase,Acebutolol,Acetylcholine
327,the antihypertensive activities,decrease,Acebutolol,Acetylsalicylicacid
328,the bradycardic activities,increase,Acebutolol,Alfentanil
329,the hypotensive activities,increase,Acebutolol,Alfuzosin
330,the hypotensive activities,increase,Acebutolol,Alimemazine
331,the hypotensive activities,increase,Acebutolol,Aliskiren
332,the hypotensive activities,increase,Acebutolol,Alprenolol
333,the bradycardic activities,increase,Acebutolol,Ambenonium
334,the hypotensive activities,increase,Acebutolol,Ambrisentan
335,the hypotensive activities,increase,Acebutolol,Amifostine
336,The risk or severity of adverse effects,increase,Acebutolol,Amiloride
337,the bronchodilatory activities,decrease,Acebutolol,Aminophylline
338,The therapeutic efficacy,increase,Acebutolol,Amiodarone
339,the hypotensive activities,increase,Acebutolol,Amlodipine
340,The serum concentration,decrease,Acebutolol,Amobarbital
341,The metabolism,decrease,Acebutolol,Amodiaquine
342,The risk or severity of adverse effects,increase,Acebutolol,Amphetamine
343,The risk or severity of adverse effects,increase,Acebutolol,Amylnitrite
344,the antihypertensive activities,decrease,Acebutolol,Antipyrine
345,The serum concentration,decrease,Acebutolol,Apalutamide
346,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Apomorphine
347,the antihypertensive activities,decrease,Acebutolol,Apremilast
348,the bronchodilatory activities,decrease,Acebutolol,Arformoterol
349,the hypotensive activities,increase,Acebutolol,Aripiprazole
350,The risk or severity of adverse effects,increase,Acebutolol,Arsenictrioxide
351,the hypertensive activities,increase,Acebutolol,Atomoxetine
352,the antihypertensive activities,increase,Acebutolol,Avanafil
353,the antihypertensive activities,decrease,Acebutolol,Azelastine
354,the antihypertensive activities,decrease,Acebutolol,Balsalazide
355,the bronchodilatory activities,decrease,Acebutolol,Bambuterol
356,the hypotensive activities,increase,Acebutolol,Benazepril
357,the hypotensive activities,increase,Acebutolol,Bendroflumethiazide
358,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Benzphetamine
359,the hypotensive activities,increase,Acebutolol,Bepridil
360,the hypotensive activities,increase,Acebutolol,Betaxolol
361,the hypotensive activities,increase,Acebutolol,Bisoprolol
362,The risk or severity of adverse effects,increase,Acebutolol,Bortezomib
363,the hypotensive activities,increase,Acebutolol,Bosentan
364,the antihypertensive activities,increase,Acebutolol,Brimonidine
365,the antihypertensive activities,decrease,Acebutolol,Bromfenac
366,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Bromocriptine
367,The risk or severity of adverse effects,increase,Acebutolol,Bumetanide
368,The serum concentration,increase,Acebutolol,Bupivacaine
369,the vasoconstricting activities,increase,Acebutolol,Cabergoline
370,The risk or severity of adverse effects,increase,Acebutolol,Canagliflozin
371,the hypotensive activities,increase,Acebutolol,Candesartancilexetil
372,the hypotensive activities,increase,Acebutolol,Captopril
373,The risk or severity of adverse effects,increase,Acebutolol,Carbachol
374,the hypotensive activities,increase,Acebutolol,Carteolol
375,the orthostatic hypotensive activities,increase,Acebutolol,Carvedilol
376,the antihypertensive activities,decrease,Acebutolol,Celecoxib
377,The risk or severity of adverse effects,increase,Acebutolol,Celiprolol
378,the bradycardic activities,increase,Acebutolol,Ceritinib
379,The risk or severity of adverse effects,increase,Acebutolol,Cevimeline
380,The metabolism,decrease,Acebutolol,Chloroquine
381,the hypotensive activities,increase,Acebutolol,Chlorpromazine
382,the hypoglycemic activities,increase,Acebutolol,Chlorpropamide
383,The risk or severity of adverse effects,increase,Acebutolol,Cilnidipine
384,The risk or severity of adverse effects,increase,Acebutolol,Clenbuterol
385,The risk or severity of adverse effects,increase,Acebutolol,Clevidipine
386,The risk or severity of adverse effects,increase,Acebutolol,Clofarabine
387,The risk or severity of adverse effects,increase,Acebutolol,Clomipramine
388,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Clonidine
389,The risk or severity of adverse effects,increase,Acebutolol,Clozapine
390,The risk or severity of adverse effects,increase,Acebutolol,Conivaptan
391,the bradycardic activities,increase,Acebutolol,Crizotinib
392,The risk or severity of adverse effects,increase,Acebutolol,Dapagliflozin
393,the hypotensive activities,increase,Acebutolol,Debrisoquin
394,the bradycardic activities,increase,Acebutolol,Decamethonium
395,The serum concentration,increase,Acebutolol,Desvenlafaxine
396,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Dexmedetomidine
397,the hypotensive activities,increase,Acebutolol,Diazoxide
398,the antihypertensive activities,decrease,Acebutolol,Diclofenac
399,The risk or severity of adverse effects,increase,Acebutolol,Diclofenamide
400,the antihypertensive activities,decrease,Acebutolol,Diflunisal
401,the bradycardic activities,increase,Acebutolol,Digitoxin
402,the bradycardic activities,increase,Acebutolol,Digoxin
403,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Dihydroergotamine
404,the hypotensive activities,increase,Acebutolol,Diltiazem
405,the bradycardic activities,increase,Acebutolol,Disopyramide
406,The risk or severity of adverse effects,increase,Acebutolol,Dobutamine
407,the bradycardic activities,increase,Acebutolol,Donepezil
408,The risk or severity of adverse effects,increase,Acebutolol,Dopamine
409,the hypotensive activities,increase,Acebutolol,Dorzolamide
410,the orthostatic hypotensive activities,increase,Acebutolol,Doxazosin
411,the tachycardic activities,increase,Acebutolol,Dronabinol
412,the bradycardic activities,increase,Acebutolol,Dronedarone
413,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Droxidopa
414,the orthostatic hypotensive activities,increase,Acebutolol,Duloxetine
415,the hypotensive activities,increase,Acebutolol,Efonidipine
416,the hypotensive activities,increase,Acebutolol,Enalapril
417,The risk or severity of adverse effects,increase,Acebutolol,Ephedrine
418,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Epinephrine
419,The risk or severity of adverse effects,increase,Acebutolol,Eplerenone
420,the hypotensive activities,increase,Acebutolol,Epoprostenol
421,the hypotensive activities,increase,Acebutolol,Eprosartan
422,the vasoconstricting activities,increase,Acebutolol,Ergonovine
423,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Ergotamine
424,The risk or severity of adverse effects,increase,Acebutolol,Etacrynicacid
425,the antihypertensive activities,decrease,Acebutolol,Etodolac
426,the atrioventricular blocking ( AV block ) activities,increase,Acebutolol,Etomidate
427,the antihypertensive activities,decrease,Acebutolol,Etoricoxib
428,the hypotensive activities,increase,Acebutolol,Felodipine
429,the bradycardic activities,increase,Acebutolol,Fentanyl
430,The serum concentration of the active metabolites,increase,Acebutolol,Fesoterodine
431,the bradycardic activities,increase,Fingolimod,Acebutolol
432,The serum concentration,increase,Fluoxetine,Acebutolol
433,the hypotensive activities,increase,Fluphenazine,Acebutolol
434,the antihypertensive activities,decrease,Flurbiprofen,Acebutolol
435,the bronchodilatory activities,decrease,Formoterol,Acebutolol
436,The risk or severity of adverse effects,increase,Furosemide,Acebutolol
437,the bradycardic activities,increase,Galantamine,Acebutolol
438,the hypoglycemic activities,increase,Gliclazide,Acebutolol
439,the hypoglycemic activities,increase,Glimepiride,Acebutolol
440,the hypoglycemic activities,increase,Glipizide,Acebutolol
441,the hypoglycemic activities,increase,Glyburide,Acebutolol
442,the atrioventricular blocking ( AV block ) activities,increase,Guanabenz,Acebutolol
443,the hypotensive activities,increase,Guanethidine,Acebutolol
444,the atrioventricular blocking ( AV block ) activities,increase,Guanfacine,Acebutolol
445,The risk or severity of adverse effects,increase,Halothane,Acebutolol
446,The serum concentration,decrease,Hexobarbital,Acebutolol
447,the hypotensive activities,increase,Hydralazine,Acebutolol
448,The metabolism,decrease,Hydroxychloroquine,Acebutolol
449,the antihypertensive activities,decrease,Ibuprofen,Acebutolol
450,The risk or severity of adverse effects,increase,Imipramine,Acebutolol
451,the bronchodilatory activities,decrease,Indacaterol,Acebutolol
452,the hypotensive activities,increase,Indapamide,Acebutolol
453,the antihypertensive activities,decrease,Indomethacin,Acebutolol
454,the hypotensive activities,increase,Irbesartan,Acebutolol
455,The serum concentration,increase,Isavuconazole,Acebutolol
456,The risk or severity of adverse effects,increase,Isoflurane,Acebutolol
457,the bradycardic activities,increase,Isoflurophate,Acebutolol
458,The risk or severity of adverse effects,increase,Isoprenaline,Acebutolol
459,The risk or severity of adverse effects,increase,Isosorbidedinitrate,Acebutolol
460,The risk or severity of adverse effects,increase,Isosorbidemononitrate,Acebutolol
461,the hypotensive activities,increase,Isradipine,Acebutolol
462,the antihypertensive activities,decrease,Ketoprofen,Acebutolol
463,the orthostatic hypotensive activities,increase,Labetalol,Acebutolol
464,the antihypertensive activities,decrease,Leflunomide,Acebutolol
465,the hypotensive activities,increase,Lercanidipine,Acebutolol
466,The risk or severity of adverse effects,increase,Levobupivacaine,Acebutolol
467,the orthostatic hypotensive activities,increase,Levodopa,Acebutolol
468,The serum concentration,increase,Levomilnacipran,Acebutolol
469,the bronchodilatory activities,decrease,Levosalbutamol,Acebutolol
470,The serum concentration,increase,Lidocaine,Acebutolol
471,the antihypertensive activities,decrease,Lornoxicam,Acebutolol
472,the hypotensive activities,increase,Losartan,Acebutolol
473,the antihypertensive activities,decrease,Loxoprofen,Acebutolol
474,The serum concentration,decrease,Lumacaftor,Acebutolol
475,the antihypertensive activities,decrease,Lumiracoxib,Acebutolol
476,the hypotensive activities,increase,Macitentan,Acebutolol
477,the bradycardic activities,increase,Malathion,Acebutolol
478,the antihypertensive activities,decrease,Masoprocol,Acebutolol
479,the antihypertensive activities,decrease,Mefenamicacid,Acebutolol
480,the bradycardic activities,increase,Mefloquine,Acebutolol
481,the antihypertensive activities,decrease,Meloxicam,Acebutolol
482,the bradycardic activities,increase,Memantine,Acebutolol
483,the hypotensive activities,increase,Mesoridazine,Acebutolol
484,the antihypertensive activities,decrease,Metamizole,Acebutolol
485,the atrioventricular blocking ( AV block ) activities,increase,Methamphetamine,Acebutolol
486,The risk or severity of adverse effects,increase,Methazolamide,Acebutolol
487,the hypotensive activities,increase,Methotrimeprazine,Acebutolol
488,the hypotensive activities,increase,Methyldopa,Acebutolol
489,the vasoconstricting activities,increase,Methylergometrine,Acebutolol
490,the antihypertensive activities,decrease,Methylphenidate,Acebutolol
491,The serum concentration,decrease,Methylphenobarbital,Acebutolol
492,the bradycardic activities,increase,Metoclopramide,Acebutolol
493,The serum concentration,increase,Metoprolol,Acebutolol
494,the bradycardic activities,increase,Midodrine,Acebutolol
495,the bradycardic activities,increase,Minaprine,Acebutolol
496,the hypotensive activities,increase,Moclobemide,Acebutolol
497,the hypotensive activities,increase,Molsidomine,Acebutolol
